Winter-Low Price,Winter-High Price,Spring-Low Price,Spring-High Price,Summer-Low Price,Summer-High Price,Fall-Low Price,Fall-High Price
1.8,12,1.8,2.2,2.2,3.3,1.6,5.9
1.8,18.5,-0.7,1.8,2.1,3.1,2.7,16.5
1.8,8.5,-0.5,1.8,2,2.7,1.7,4.8
1.8,16.8,0.1,1.7,2,2.5,0.5,4.5
1.8,9.7,0.9,1.7,1.9,2.6,2.9,12.7
2,12.4,1.2,2.1,2,2.8,3,5.1
2.1,15.3,1.1,2,2.2,3.1,2.5,5.4
2.5,19.3,-0.3,2.6,2.5,3.2,4.6,6.9
2.3,15.3,0.3,3.3,2.9,3.7,4.7,6.3
2.2,10.6,1,3.5,2.6,5.7,5.3,5.7
2.1,12.7,0.8,47.3,2.3,15.7,3.6,13.6
2,13.5,1,3.4,2.4,14.1,3.4,6.7
2,10.3,0.9,3.5,2.4,7.2,2.1,7.2
1.8,13.2,0.6,23.4,2.4,7.8,3.3,6.8
1.7,9.3,1.4,3,2.3,7.3,2.5,8.1
1.7,11.5,1.2,5.8,2.2,17.5,2.2,6.5
1.8,13.1,0.7,6.4,2.2,25.7,1.4,6.3
2.6,11,1,2.6,2.4,35.5,2.7,6.6
2.1,14,1.1,2.8,2.2,10.7,3.2,7.2
2.1,18.2,1.4,4.8,2.2,3.9,3.5,12.6
2,18.8,3.6,2.9,2.2,4,3.5,8.2
2,14.9,2.3,3.6,2.2,3.3,3.7,6.7
1.8,11.2,2.1,3.9,2,3.4,2.9,10.7
1.7,8.1,2,2.4,2,3.5,3.2,4.5
